loss,val_loss
0.031425718349212456, 0.03532103372243
0.0310550740788809, 0.035079230713890866
0.030923617242998074, 0.03556828936212696
0.03084644565909421, 0.035417412806418726
0.030574187450646793, 0.03511009397800081
0.030315629431778297, 0.03508327218238264
0.030042342781699042, 0.034287553640315306
0.029298484940867175, 0.036238997580949214
0.027388592508514338, 0.03382940624607727
0.02164339653437122, 0.04081406729848822
0.016683585173907757, 0.04430596776684979
0.014841072435739325, 0.07706900678109378
0.01313527908534438, 0.04206607245403575
0.01225344202482596, 0.035554695772298146
0.011676399117657436, 0.03362223961186828
0.011203876741820417, 0.03062140742506017
0.010726000225025466, 0.0298344463299145
0.010414248470894692, 0.03048218305433693
0.010054381318795283, 0.03403928733663633
0.009789188888542065, 0.02409157871719799
