loss,val_loss
0.139305782,0.145764994
0.138322394,0.146130566
0.138364087,0.145657257
0.138178079,0.14560054
0.138353955,0.145669492
0.138231396,0.145567625
0.138179457,0.145558424
0.138105094,0.145554904
0.138212615,0.145452957
0.138271573,0.145427086
0.138252115,0.14542085
0.138124316,0.145354588
0.138208715,0.145430918
0.13817803,0.145389591
0.138173626,0.145397546
0.138111107,0.145319186
0.13824333,0.145282174
0.138237003,0.145254731
0.138234806,0.145245269
0.138230689,0.145245916
0.138239066,0.145274605
0.138219819,0.145248966
0.138242897,0.145243946
0.13824278,0.145254777
0.138194653,0.145217676
